plz,name,canton,canton_name,municipality
3274,Bühl b. Aarberg,BE,Bern / Berne,
3274,Hermrigen,BE,Bern / Berne,
3274,Merzligen,BE,Bern / Berne,
3280,Greng,FR,Fribourg / Freiburg,
3280,Meyriez,FR,Fribourg / Freiburg,
3280,Murten,FR,Fribourg / Freiburg,
3282,Bargen BE,BE,Bern / Berne,
3283,Kallnach,BE,Bern / Berne,
3283,Niederried b. Kallnach,BE,Bern / Berne,
3284,Fräschels,FR,Fribourg / Freiburg,
3285,Galmiz,FR,Fribourg / Freiburg,
3286,Muntelier,FR,Fribourg / Freiburg,
3292,Busswil BE,BE,Bern / Berne,
3293,Dotzigen,BE,Bern / Berne,
3294,Büren an der Aare,BE,Bern / Berne,
3294,Meienried,BE,Bern / Berne,
3295,Rüti b. Büren,BE,Bern / Berne,
3296,Arch,BE,Bern / Berne,
3297,Leuzigen,BE,Bern / Berne,
3298,Oberwil b. Büren,BE,Bern / Berne,
3302,Moosseedorf,BE,Bern / Berne,
3303,Ballmoos,BE,Bern / Berne,
3303,Jegenstorf,BE,Bern / Berne,
3303,Münchringen,BE,Bern / Berne,
3303,Zuzwil BE,BE,Bern / Berne,
3305,Iffwil,BE,Bern / Berne,
3305,Scheunen,BE,Bern / Berne,
3306,Etzelkofen,BE,Bern / Berne,
3307,Brunnenthal,SO,Solothurn,
3308,Grafenried,BE,Bern / Berne,
3309,Kernenried,BE,Bern / Berne,
3309,Zauggenried,BE,Bern / Berne,
3312,Fraubrunnen,BE,Bern / Berne,
3313,Büren zum Hof,BE,Bern / Berne,
3314,Schalunen,BE,Bern / Berne,
3315,Bätterkinden,BE,Bern / Berne,
3315,Kräiligen,BE,Bern / Berne,
3317,Limpach,BE,Bern / Berne,
3317,Mülchi,BE,Bern / Berne,
3322,Mattstetten,BE,Bern / Berne,
3322,Urtenen-Schönbühl,BE,Bern / Berne,
3323,Bäriswil BE,BE,Bern / Berne,
3324,Hindelbank,BE,Bern / Berne,
3324,Mötschwil,BE,Bern / Berne,
3325,Hettiswil b. Hindelbank,BE,Bern / Berne,
3326,Krauchthal,BE,Bern / Berne,
3360,Herzogenbuchsee,BE,Bern / Berne,
3362,Niederönz,BE,Bern / Berne,
3363,Oberönz,BE,Bern / Berne,
3365,Grasswil,SO,Solothurn,
3365,Seeberg,BE,Bern / Berne,
3366,Bettenhausen,BE,Bern / Berne,
3366,Bollodingen,BE,Bern / Berne,
3367,Ochlenberg,BE,Bern / Berne,
3367,Thörigen,BE,Bern / Berne,
3368,Bleienbach,BE,Bern / Berne,
3372,Wanzwil,BE,Bern / Berne,
3373,Heimenhausen,BE,Bern / Berne,
3373,Röthenbach Herzogenbuchsee,BE,Bern / Berne,
3374,Wangenried,BE,Bern / Berne,
3375,Inkwil,BE,Bern / Berne,
3376,Berken,BE,Bern / Berne,
3376,Graben,BE,Bern / Berne,
3377,Walliswil b. Wangen,BE,Bern / Berne,
3380,Walliswil b. Niederbipp,BE,Bern / Berne,
3380,Wangen an der Aare,BE,Bern / Berne,
3400,Burgdorf,BE,Bern / Berne,
3412,Heimiswil,BE,Bern / Berne,
3413,Kaltacker,BE,Bern / Berne,
3414,Oberburg,BE,Bern / Berne,
3415,Hasle b. Burgdorf,BE,Bern / Berne,
3415,Rüegsauschachen,BE,Bern / Berne,
3415,Schafhausen im Emmental,BE,Bern / Berne,
3416,Affoltern im Emmental,BE,Bern / Berne,
3417,Rüegsau,BE,Bern / Berne,
3418,Rüegsbach,BE,Bern / Berne,
3419,Biembach im Emmental,BE,Bern / Berne,
3421,Lyssach,BE,Bern / Berne,
3421,Rüti b. Lyssach,BE,Bern / Berne,
3422,Alchenflüh,BE,Bern / Berne,
3422,Kirchberg BE,BE,Bern / Berne,
3422,Rüdtligen,BE,Bern / Berne,
3423,Ersigen,BE,Bern / Berne,
3424,Niederösch,BE,Bern / Berne,
3424,Oberösch,BE,Bern / Berne,
3425,Koppigen,BE,Bern / Berne,
3425,Willadingen,BE,Bern / Berne,
3426,Aefligen,BE,Bern / Berne,
3427,Utzenstorf,BE,Bern / Berne,
3428,Wiler b. Utzenstorf,BE,Bern / Berne,
3429,Hellsau,BE,Bern / Berne,
3429,Höchstetten,BE,Bern / Berne,
3432,Lützelflüh-Goldbach,BE,Bern / Berne,
3433,Schwanden im Emmental,BE,Bern / Berne,
3434,Landiswil,BE,Bern / Berne,
3434,Obergoldbach,BE,Bern / Berne,
3435,Ramsei,BE,Bern / Berne,
3436,Zollbrück,BE,Bern / Berne,
3437,Rüderswil,BE,Bern / Berne,
3438,Lauperswil,BE,Bern / Berne,
3439,Ranflüh,BE,Bern / Berne,
3452,Grünenmatt,BE,Bern / Berne,
3453,Heimisbach,BE,Bern / Berne,
3454,Sumiswald,BE,Bern / Berne,
3455,Grünen,BE,Bern / Berne,
3456,Trachselwald,BE,Bern / Berne,
3457,Wasen im Emmental,BE,Bern / Berne,
3462,Weier im Emmental,BE,Bern / Berne,
3463,Häusernmoos im Emmental,BE,Bern / Berne,
3464,Schmidigen-Mühleweg,BE,Bern / Berne,
3465,Dürrenroth,BE,Bern / Berne,
3472,Rumendingen,BE,Bern / Berne,
3472,Wynigen,BE,Bern / Berne,
3473,Alchenstorf,BE,Bern / Berne,
3474,Rüedisbach,BE,Bern / Berne,
3475,Hermiswil,BE,Bern / Berne,
3475,Riedtwil,BE,Bern / Berne,
3476,Oschwand,BE,Bern / Berne,
3503,Gysenstein,BE,Bern / Berne,
3504,Niederhünigen,BE,Bern / Berne,
3504,Oberhünigen,BE,Bern / Berne,
3506,Grosshöchstetten,BE,Bern / Berne,
3507,Biglen,BE,Bern / Berne,
3508,Arni BE,BE,Bern / Berne,
3510,Freimettigen,BE,Bern / Berne,
3510,Häutligen,BE,Bern / Berne,
3510,Konolfingen,BE,Bern / Berne,
3512,Walkringen,BE,Bern / Berne,
3513,Bigenthal,BE,Bern / Berne,
3531,Oberthal,BE,Bern / Berne,
3532,Mirchel,BE,Bern / Berne,
3532,Zäziwil,BE,Bern / Berne,
3533,Bowil,BE,Bern / Berne,
3534,Signau,BE,Bern / Berne,
3535,Schüpbach,BE,Bern / Berne,
3536,Aeschau,BE,Bern / Berne,
3537,Eggiwil,BE,Bern / Berne,
3538,Röthenbach im Emmental,BE,Bern / Berne,
3543,Emmenmatt,BE,Bern / Berne,
3550,Langnau im Emmental,BE,Bern / Berne,
3551,Oberfrittenbach,BE,Bern / Berne,
3552,Bärau,BE,Bern / Berne,
3553,Gohl,BE,Bern / Berne,
3555,Trubschachen,BE,Bern / Berne,
3556,Trub,BE,Bern / Berne,
3557,Fankhaus (Trub),BE,Bern / Berne,
3600,Thun,BE,Bern / Berne,
3603,Thun,BE,Bern / Berne,
3604,Thun,BE,Bern / Berne,
3608,Thun,BE,Bern / Berne,
3612,Steffisburg,BE,Bern / Berne,
3613,Steffisburg,BE,Bern / Berne,
3614,Unterlangenegg,BE,Bern / Berne,
3615,Heimenschwand,BE,Bern / Berne,
3616,Schwarzenegg,BE,Bern / Berne,
3617,Fahrni b. Thun,BE,Bern / Berne,
3618,Süderen,BE,Bern / Berne,
3619,Eriz,BE,Bern / Berne,
3622,Homberg b. Thun,BE,Bern / Berne,
3623,Buchen BE,BE,Bern / Berne,
3623,Horrenbach,BE,Bern / Berne,
3623,Teuffenthal b. Thun,BE,Bern / Berne,
3624,Goldiwil (Thun),BE,Bern / Berne,
3624,Schwendibach,BE,Bern / Berne,
